shangpai_date,url,price,title,address,price_new,xingshi
2011-05,https://www.guazi.com/wh/27ad18e8cc218c60x.htm,¥4.20            ,雪铁龙世嘉 2011款 三厢 1.6 自动时尚型,武汉,"
                    ",7万公里
2013-07,https://www.guazi.com/wh/990ab4af89f25553x.htm,¥8.50            ,本田思域 2013款 十周年纪念 1.8L 自动舒适版,武汉,"
                            新车指导价15.20万(含税)
                    ",4.98万公里
2010-04,https://www.guazi.com/wh/ef6e2a2b73104be0x.htm,¥20.50            ,凯迪拉克CTS 2010款 3.0精英运动版(进口),武汉,"
                            新车指导价42.30万(含税)
                    ",6.5万公里
2015-02,https://www.guazi.com/wh/5639830567472e29x.htm,¥9.70            ,大众速腾 2014款 改款 1.6L 自动舒适型,武汉,"
                            新车指导价16.40万(含税)
                    ",6.3万公里
2015-04,https://www.guazi.com/wh/eaa6ac371d6bcdb5x.htm,¥5.60            ,哈弗H5 2015款 2.0L 手动两驱进取型,武汉,"
                            新车指导价10.30万(含税)
                    ",11.15万公里
2014-07,https://www.guazi.com/wh/816397859f026dd7x.htm,¥1.80            ,奇瑞QQ3 2012款 运动版 1.0L 手动启航型,武汉,"
                            新车指导价4.10万(含税)
                    ",2.51万公里
2012-07,https://www.guazi.com/wh/82193ddf5db43490x.htm,¥28.00            ,Jeep大切诺基 2012款 3.6L 豪华导航版(进口),武汉,"
                            新车指导价71.60万(含税)
                    ",14.2万公里
2011-04,https://www.guazi.com/wh/28107a78ce1eefdbx.htm,¥13.88            ,奥迪A4L 2011款 2.0 TFSI 舒适型,武汉,"
                            新车指导价35.80万(含税)
                    ",6.37万公里
2016-12,https://www.guazi.com/wh/87c91894a75f56f7x.htm,¥8.20            ,日产轩逸 2016款 经典 1.6XE 自动舒适版,武汉,"
                            新车指导价11.90万(含税)
                    ",3.87万公里
2011-08,https://www.guazi.com/wh/29d7783639eb0d53x.htm,¥4.00            ,东风风神S30 2011款 1.6L 自动尊贵型,武汉,"
                            新车指导价10.30万(含税)
                    ",13.25万公里
2015-12,https://www.guazi.com/wh/c640ecfce21fd962x.htm,¥4.00            ,雪佛兰赛欧 2015款 赛欧3 1.3L 手动理想版,武汉,"
                            新车指导价6.80万(含税)
                    ",2.96万公里
2014-09,https://www.guazi.com/wh/c43fb9a37fbece1ax.htm,¥3.60            ,东风风行菱智 2013款 V3 1.5L 5座标准型I,武汉,"
                            新车指导价6.20万(含税)
                    ",9.3万公里
2016-08,https://www.guazi.com/wh/b4c6af0f9773a85dx.htm,¥5.50            ,江淮iEV 2015款 iEV5,武汉,"
                            新车指导价19.50万(含税)
                    ",4.13万公里
2017-01,https://www.guazi.com/wh/8092d997f4bb2836x.htm,¥10.00            ,纳智捷优6 SUV 2017款 1.8T 魅力升级型,武汉,"
                            新车指导价14.80万(含税)
                    ",0.67万公里
2012-05,https://www.guazi.com/wh/372940f4179001e3x.htm,¥6.50            ,大众朗逸 2011款 1.4TSI 手动品雅版,武汉,"
                            新车指导价14.40万(含税)
                    ",11.2万公里
2014-01,https://www.guazi.com/wh/e0d6dab171640a26x.htm,¥9.00            ,大众朗行 2013款 1.6L 自动舒适型,武汉,"
                            新车指导价15.30万(含税)
                    ",4.92万公里
2014-01,https://www.guazi.com/wh/044f9ccfbb5e72b9x.htm,¥33.38            ,宝马5系 2013款 525Li 豪华型,武汉,"
                            新车指导价53.70万(含税)
                    ",5.3万公里
2016-04,https://www.guazi.com/wh/42c5ab3d6f9956dax.htm,¥5.80            ,东风风行菱智 2015款 M3 1.6L 7座舒适型,武汉,"
                            新车指导价7.80万(含税)
                    ",2.22万公里
2014-01,https://www.guazi.com/wh/d04731c270bdcdcbx.htm,¥5.58            ,哈弗H5 2013款 智尊版 2.0T手动两驱进取型,武汉,"
                            新车指导价11.20万(含税)
                    ",6.26万公里
2016-12,https://www.guazi.com/wh/3ceff6acef06a19dx.htm,¥12.80            ,东风御风 2016款 2.5T领运版御利宝长轴中顶ZD25 国V,武汉,"
                            新车指导价18.00万(含税)
                    ",1.2万公里
2009-12,https://www.guazi.com/wh/51bbc33372ae0fcax.htm,¥2.50            ,雪佛兰乐风 2010款 1.4MT风度版,武汉,"
                            新车指导价8.90万(含税)
                    ",8.2万公里
2015-04,https://www.guazi.com/wh/62827bd5939df8a3x.htm,¥50.00            ,捷豹XJ 2014款 XJL 3.0 SC 两驱全景商务版,武汉,"
                            新车指导价114.80万(含税)
                    ",2.55万公里
2014-10,https://www.guazi.com/wh/dd821c67db7a1fcex.htm,¥3.00            ,奇瑞风云2 2013款 两厢 1.5L 手动锐意版,武汉,"
                            新车指导价5.60万(含税)
                    ",3.19万公里
2017-08,https://www.guazi.com/wh/c2a6f33f8951f520x.htm,¥4.37            ,江铃集团新能源江铃E200 2016款 舒适型,武汉,"
                            新车指导价19.80万(含税)
                    ",0.05万公里
2012-03,https://www.guazi.com/wh/71b0d934d7ffefd1x.htm,¥9.80            ,大众速腾 2012款 1.8TSI 自动旗舰版,武汉,"
                            新车指导价20.20万(含税)
                    ",4.5万公里
